image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\lfw\lfw\Tanya_Holyk\Tanya_Holyk_0001.jpg,data\processed\lfw\lfw\David_Kelly\David_Kelly_0001.jpg,Tanya_Holyk,David_Kelly,lfw,lfw,,,,,0,0.20095538,22.177778,0.7990446
data\processed\lfw\lfw\Darrell_Royal\Darrell_Royal_0001.jpg,data\processed\lfw\lfw\Horacio_Julio_Pina\Horacio_Julio_Pina_0001.jpg,Darrell_Royal,Horacio_Julio_Pina,lfw,lfw,,,,,0,0.1588941,24.02684,0.8411059
data\processed\lfw\lfw\Lynn_Abraham\Lynn_Abraham_0002.jpg,data\processed\lfw\lfw\Brian_Wells\Brian_Wells_0002.jpg,Lynn_Abraham,Brian_Wells,lfw,lfw,,,,,0,0.11782617,18.136871,0.88217384
data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0012.jpg,data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0020.jpg,Jean_Chretien,Jean_Chretien,lfw,lfw,,,,,1,0.4877127,16.015596,0.51228726
data\processed\lfw\lfw\Rick_Lu\Rick_Lu_0001.jpg,data\processed\lfw\lfw\Mike_Eskew\Mike_Eskew_0001.jpg,Rick_Lu,Mike_Eskew,lfw,lfw,,,,,0,0.45502496,19.542131,0.54497504
data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0003.jpg,data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0005.jpg,Tariq_Aziz,Tariq_Aziz,lfw,lfw,,,,,1,0.4174483,16.566156,0.5825517
data\processed\lfw\lfw\Buddy_Ryan\Buddy_Ryan_0001.jpg,data\processed\lfw\lfw\Nate_Hybl\Nate_Hybl_0001.jpg,Buddy_Ryan,Nate_Hybl,lfw,lfw,,,,,0,0.24360487,24.142454,0.7563951
data\processed\lfw\lfw\Kaisser_Bazan\Kaisser_Bazan_0001.jpg,data\processed\lfw\lfw\Antonio_Elias_Saca\Antonio_Elias_Saca_0001.jpg,Kaisser_Bazan,Antonio_Elias_Saca,lfw,lfw,,,,,0,0.29979464,21.353424,0.7002053
data\processed\lfw\lfw\Liliana_Cavani\Liliana_Cavani_0001.jpg,data\processed\lfw\lfw\Fernando_Henrique_Cardoso\Fernando_Henrique_Cardoso_0006.jpg,Liliana_Cavani,Fernando_Henrique_Cardoso,lfw,lfw,,,,,0,0.175563,20.643753,0.824437
data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0008.jpg,data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0009.jpg,Paul_ONeill,Paul_ONeill,lfw,lfw,,,,,1,0.49501532,15.060655,0.5049847
data\processed\lfw\lfw\Laura_Hernandez\Laura_Hernandez_0002.jpg,data\processed\lfw\lfw\Allen_Rock\Allen_Rock_0001.jpg,Laura_Hernandez,Allen_Rock,lfw,lfw,,,,,0,0.11745844,21.549217,0.88254154
data\processed\lfw\lfw\John_Elway\John_Elway_0001.jpg,data\processed\lfw\lfw\Martie_Maguire\Martie_Maguire_0001.jpg,John_Elway,Martie_Maguire,lfw,lfw,,,,,0,0.2050725,18.694866,0.7949275
data\processed\lfw\lfw\Jennifer_Connelly\Jennifer_Connelly_0004.jpg,data\processed\lfw\lfw\Jeremy_Wotherspoon\Jeremy_Wotherspoon_0001.jpg,Jennifer_Connelly,Jeremy_Wotherspoon,lfw,lfw,,,,,0,0.19449724,24.459808,0.8055028
data\processed\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0009.jpg,data\processed\lfw\lfw\Molly_Sims\Molly_Sims_0001.jpg,Hugo_Chavez,Molly_Sims,lfw,lfw,,,,,0,0.15870501,23.145943,0.841295
data\processed\lfw\lfw\Hadley_Bilger\Hadley_Bilger_0001.jpg,data\processed\lfw\lfw\Jesse_Jackson\Jesse_Jackson_0005.jpg,Hadley_Bilger,Jesse_Jackson,lfw,lfw,,,,,0,0.12212042,21.424494,0.87787956
data\processed\lfw\lfw\Keith_Urban\Keith_Urban_0001.jpg,data\processed\lfw\lfw\Zoran_Djindjic\Zoran_Djindjic_0003.jpg,Keith_Urban,Zoran_Djindjic,lfw,lfw,,,,,0,0.27943373,20.625126,0.7205663
data\processed\lfw\lfw\Serena_Williams\Serena_Williams_0019.jpg,data\processed\lfw\lfw\Serena_Williams\Serena_Williams_0034.jpg,Serena_Williams,Serena_Williams,lfw,lfw,,,,,1,0.41516647,18.920162,0.5848335
data\processed\lfw\lfw\GL_Peiris\GL_Peiris_0001.jpg,data\processed\lfw\lfw\Miguel_Aldana_Ibarra\Miguel_Aldana_Ibarra_0001.jpg,GL_Peiris,Miguel_Aldana_Ibarra,lfw,lfw,,,,,0,0.36063778,18.972971,0.6393622
data\processed\lfw\lfw\Robert_Blake\Robert_Blake_0004.jpg,data\processed\lfw\lfw\Robert_Blake\Robert_Blake_0006.jpg,Robert_Blake,Robert_Blake,lfw,lfw,,,,,1,0.5334477,17.057434,0.46655232
data\processed\lfw\lfw\Kenny_Chesney\Kenny_Chesney_0001.jpg,data\processed\lfw\lfw\Lea_Fastow\Lea_Fastow_0001.jpg,Kenny_Chesney,Lea_Fastow,lfw,lfw,,,,,0,0.1730566,26.158628,0.8269434
data\processed\lfw\lfw\Silvio_Berlusconi\Silvio_Berlusconi_0020.jpg,data\processed\lfw\lfw\Silvio_Berlusconi\Silvio_Berlusconi_0031.jpg,Silvio_Berlusconi,Silvio_Berlusconi,lfw,lfw,,,,,1,0.4555971,18.21243,0.5444029
data\processed\lfw\lfw\Sharon_Frey\Sharon_Frey_0001.jpg,data\processed\lfw\lfw\Natalie_Maines\Natalie_Maines_0003.jpg,Sharon_Frey,Natalie_Maines,lfw,lfw,,,,,0,0.28403738,21.629168,0.71596265
data\processed\lfw\lfw\Ann_Veneman\Ann_Veneman_0007.jpg,data\processed\lfw\lfw\Ann_Veneman\Ann_Veneman_0009.jpg,Ann_Veneman,Ann_Veneman,lfw,lfw,,,,,1,0.63565594,14.514141,0.36434406
data\processed\lfw\lfw\Dan_Morales\Dan_Morales_0002.jpg,data\processed\lfw\lfw\Dan_Morales\Dan_Morales_0003.jpg,Dan_Morales,Dan_Morales,lfw,lfw,,,,,1,0.38102886,15.883954,0.6189711
data\processed\lfw\lfw\Marion_Fahnestock\Marion_Fahnestock_0001.jpg,data\processed\lfw\lfw\Chandrika_Kumaratunga\Chandrika_Kumaratunga_0001.jpg,Marion_Fahnestock,Chandrika_Kumaratunga,lfw,lfw,,,,,0,0.22415376,18.592066,0.77584624
data\processed\lfw\lfw\Venus_Williams\Venus_Williams_0010.jpg,data\processed\lfw\lfw\Venus_Williams\Venus_Williams_0017.jpg,Venus_Williams,Venus_Williams,lfw,lfw,,,,,1,0.47571456,19.505957,0.52428544
data\processed\lfw\lfw\Tommy_Thompson\Tommy_Thompson_0002.jpg,data\processed\lfw\lfw\Tommy_Thompson\Tommy_Thompson_0003.jpg,Tommy_Thompson,Tommy_Thompson,lfw,lfw,,,,,1,0.6405216,15.583976,0.3594784
data\processed\lfw\lfw\Paul_Wellstone\Paul_Wellstone_0001.jpg,data\processed\lfw\lfw\Paul_Wellstone\Paul_Wellstone_0002.jpg,Paul_Wellstone,Paul_Wellstone,lfw,lfw,,,,,1,0.5448616,15.883944,0.4551384
data\processed\lfw\lfw\John_Prescott\John_Prescott_0001.jpg,data\processed\lfw\lfw\Syed_Ibrahim\Syed_Ibrahim_0001.jpg,John_Prescott,Syed_Ibrahim,lfw,lfw,,,,,0,0.24203518,18.889553,0.75796485
data\processed\lfw\lfw\Alec_Baldwin\Alec_Baldwin_0002.jpg,data\processed\lfw\lfw\Alec_Baldwin\Alec_Baldwin_0003.jpg,Alec_Baldwin,Alec_Baldwin,lfw,lfw,,,,,1,0.33927593,21.482357,0.66072404
data\processed\lfw\lfw\John_Travolta\John_Travolta_0001.jpg,data\processed\lfw\lfw\John_Travolta\John_Travolta_0005.jpg,John_Travolta,John_Travolta,lfw,lfw,,,,,1,0.44893914,16.657265,0.55106086
data\processed\lfw\lfw\Queen_Beatrix\Queen_Beatrix_0001.jpg,data\processed\lfw\lfw\Ratna_Sari_Dewi_Sukarno\Ratna_Sari_Dewi_Sukarno_0001.jpg,Queen_Beatrix,Ratna_Sari_Dewi_Sukarno,lfw,lfw,,,,,0,0.36223185,19.04708,0.63776815
data\processed\lfw\lfw\Kevin_Gil\Kevin_Gil_0001.jpg,data\processed\lfw\lfw\Rachel_Wheatley\Rachel_Wheatley_0001.jpg,Kevin_Gil,Rachel_Wheatley,lfw,lfw,,,,,0,0.1867172,23.592966,0.8132828
data\processed\lfw\lfw\Gabriel_Batistuta\Gabriel_Batistuta_0001.jpg,data\processed\lfw\lfw\Faisal_Saleh_Hayat\Faisal_Saleh_Hayat_0001.jpg,Gabriel_Batistuta,Faisal_Saleh_Hayat,lfw,lfw,,,,,0,0.115125865,24.546923,0.8848741
data\processed\lfw\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0008.jpg,data\processed\lfw\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0093.jpg,Gerhard_Schroeder,Gerhard_Schroeder,lfw,lfw,,,,,1,0.16718684,20.147867,0.83281314
data\processed\lfw\lfw\James_Robertson_Jr\James_Robertson_Jr_0001.jpg,data\processed\lfw\lfw\Vanessa_Williams\Vanessa_Williams_0001.jpg,James_Robertson_Jr,Vanessa_Williams,lfw,lfw,,,,,0,0.39967254,21.126173,0.6003275
data\processed\lfw\lfw\George_Robertson\George_Robertson_0004.jpg,data\processed\lfw\lfw\George_Robertson\George_Robertson_0018.jpg,George_Robertson,George_Robertson,lfw,lfw,,,,,1,0.25080442,18.866796,0.7491956
data\processed\lfw\lfw\Barry_Alvarez\Barry_Alvarez_0001.jpg,data\processed\lfw\lfw\Robert_Morvillo\Robert_Morvillo_0001.jpg,Barry_Alvarez,Robert_Morvillo,lfw,lfw,,,,,0,0.375225,20.941833,0.624775
data\processed\lfw\lfw\Michael_Jackson\Michael_Jackson_0003.jpg,data\processed\lfw\lfw\Michael_Jackson\Michael_Jackson_0012.jpg,Michael_Jackson,Michael_Jackson,lfw,lfw,,,,,1,0.19368097,22.730457,0.806319
data\processed\lfw\lfw\Allen_Rock\Allen_Rock_0001.jpg,data\processed\lfw\lfw\Daniel_Patrick_Moynihan\Daniel_Patrick_Moynihan_0001.jpg,Allen_Rock,Daniel_Patrick_Moynihan,lfw,lfw,,,,,0,0.08200949,20.008915,0.9179905
data\processed\lfw\lfw\Desiree_Lemosi\Desiree_Lemosi_0002.jpg,data\processed\lfw\lfw\Dale_Earnhardt\Dale_Earnhardt_0001.jpg,Desiree_Lemosi,Dale_Earnhardt,lfw,lfw,,,,,0,0.2821076,22.464075,0.7178924
data\processed\lfw\lfw\Giancarlo_Fisichella\Giancarlo_Fisichella_0001.jpg,data\processed\lfw\lfw\Takaloo\Takaloo_0001.jpg,Giancarlo_Fisichella,Takaloo,lfw,lfw,,,,,0,0.3268179,19.18338,0.67318213
